index,name,address,city,postalCode,phone,mobile,business_page,logo
21,Accuro Specialist Support Services,Dubai Investment Park - 2,"Dubai, UAE ",283923,+9704-8071900,+97None,https://www.yellowpages-uae.com/accuro-specialist-support-services-160593.html,
22,Afamia Al Shaam,Khalifa,"Abu Dhabi, UAE ",None,+9702-5526630,+97None,https://www.yellowpages-uae.com/afamia-al-shaam-102712.html,
23,Afdal Restaurant and Grill,Muroor Rd,"Abu Dhabi, UAE ",55204,+9702-4493916,+97None,https://www.yellowpages-uae.com/afdal-restaurant-and-grill-123500.html,
24,Afghan Darbar Restaurant LLC,"Near Mubarak Centre, Al Nabbah Area","Sharjah, UAE ",40179,+9706-5638761,+97None,https://www.yellowpages-uae.com/afghan-darbar-restaurant-llc-147100.html,
25,Agemono Restaurant,"Al Khail Mall, Al Quoz Indl Area","Dubai, UAE ",124145,+9704-3397925,+97None,https://www.yellowpages-uae.com/agemono-restaurant-132116.html,
26,Ahl Almandi Restaurant,"Near NMC Hospital, Amman Rd, Al Nahda 2","Dubai, UAE ",None,+9704-2574448,+97None,https://www.yellowpages-uae.com/ahl-almandi-restaurant-68506.html,
27,Ahmed Al Arab Restaurant,Muroor Rd,"Abu Dhabi, UAE ",70112,+9702-4431848,+97None,https://www.yellowpages-uae.com/ahmed-al-arab-restaurant-118134.html,
28,Airlines Restaurant,Hamdan St,"Abu Dhabi, UAE ",4862,+9702-6335214,+97None,https://www.yellowpages-uae.com/airlines-restaurant-104292.html,
29,Ajman Spring Restaurant & Grills,Opp Ajman Traffic Police Dept,"Ajman, UAE ",2,+9706-7462277,+97None,https://www.yellowpages-uae.com/ajman-spring-restaurant-grills-176924.html,
30,Akher Saa Restaurant,Jamal Abdul Nasir Street,"Sharjah, UAE ",None,+9706-5501999,+97None,https://www.yellowpages-uae.com/akher-saa-restaurant-103615.html,
31,Al Abraj Restaurant,"Bhnd Joy Alukkas, Rolla","Sharjah, UAE ",2907,+9706-5615335,+97None,https://www.yellowpages-uae.com/al-abraj-restaurant-68587.html,
32,Al Afghani Al Khas Lil Kabab Restaurant LLC,"Fathima Hamdan Bin Kadim Bldg, Al Qasimiya St, Abu Shaghara","Sharjah, UAE ",None,+9706-5506674,+97None,https://www.yellowpages-uae.com/al-afghani-al-khas-lil-kabab-restaurant-llc-103485.html,
33,Al Afrah Al Thahabya Restaurant LLC,"Near Mega Mall, Abu Shagara","Sharjah, UAE ",None,+9706-5512323,+97056-2402323,https://www.yellowpages-uae.com/al-afrah-al-thahabya-restaurant-llc-175370.html,
34,Al Ain Restaurant,"Next KFC, Airport Rd","Abu Dhabi, UAE ",25361,+9702-6422507,+97None,https://www.yellowpages-uae.com/al-ain-restaurant-129027.html,
35,Al Akhwan Restaurant,None,"Dubai, UAE ",None,+9704-2621704,+97None,https://www.yellowpages-uae.com/al-akhwan-restaurant-146795.html,
36,Al Akl Al Har Restaurant LLC,"Shop 2 & 3, Al Qassimiya","Sharjah, UAE ",30459,+9706-5507939,+97None,https://www.yellowpages-uae.com/al-akl-al-har-restaurant-llc-148014.html,
37,Al Amoor Restaurant,Al Quoz Indl Area,"Dubai, UAE ",None,+9704-3470787,+97800 2526667,https://www.yellowpages-uae.com/al-amoor-restaurant-175202.html,
38,Al Anood Restaurant,"Near Asmara S/Market, Al Mamoorah","Ras Al Khaimah, UAE ",12242,+9707-2236516,+97None,https://www.yellowpages-uae.com/al-anood-restaurant-138539.html,
39,Al Arrab Restaurant,Dubai Silicon Oasis Authority,"Dubai, UAE ",19492,+9704-3264949,+97None,https://www.yellowpages-uae.com/al-arrab-restaurant-153642.html,
40,Al Aumdah Restaurant,"Al Mamzar Building, Abu Hail","Dubai, UAE ",None,+9704-2667749,+97050-3799440,https://www.yellowpages-uae.com/al-aumdah-restaurant-175275.html,
41,Al Ayoubia Restaurant,Al Nasr St,"Abu Dhabi, UAE ",71955,+9702-6215242,+97None,https://www.yellowpages-uae.com/al-ayoubia-restaurant-138785.html,
42,Al Badawi Restaurant,Jamal Abdul Nasir Street,"Sharjah, UAE ",None,+9706-5444066,+97None,https://www.yellowpages-uae.com/al-badawi-restaurant-103619.html,
43,Al Bait Al Malaky Mandi Restaurant,"Opp Safeer Mall, Ittihad Road","Sharjah, UAE ",None,+9706-5256663,+9705-5350075,https://www.yellowpages-uae.com/al-bait-al-malaky-mandi-restaurant-175596.html,
44,Al Banadir Family Restaurant LLC,"Near Manama Center, Fire Stn R/A","Sharjah, UAE ",None,+9706-5628928,+97None,https://www.yellowpages-uae.com/al-banadir-family-restaurant-llc-151044.html,
45,Al Barakah Restaurant,"Near Natl S/Market, Rams Rd","Ras Al Khaimah, UAE ",4612,+9707-2238349,+97None,https://www.yellowpages-uae.com/al-barakah-restaurant-134324.html,
46,Al Bawadir Restaurant,None,"Sharjah, UAE ",70803,+9706-5515957,+97None,https://www.yellowpages-uae.com/al-bawadir-restaurant-147687.html,
47,Al Bayan Purification and Potable Water LLC,Mussafah Indl Area,"Abu Dhabi, UAE ",51845,+9702-5510370,+97None,https://www.yellowpages-uae.com/al-bayan-purification-and-potable-water-llc-106237.html,
48,Al Bustan Hotel,"Near Immigration Office, Al Kuwait Rd","Sharjah, UAE ",6006,+9706-5731555,+97None,https://www.yellowpages-uae.com/al-bustan-hotel-113458.html,
49,Al Bustan Restaurant,Al Etihad Rd,"Umm Al Quwain, UAE ",505,+9706-7670077,+97None,https://www.yellowpages-uae.com/al-bustan-restaurant-149782.html,
50,Al Daba Restaurant,"Near Moonlight S/Market, Julphar Rd, Julan","Ras Al Khaimah, UAE ",4803,+9707-2238610,+97None,https://www.yellowpages-uae.com/al-daba-restaurant-138076.html,
51,Al Dahleez Restaurant,Garhoud,"Dubai, UAE ",37137,+9704-2823922,+97None,https://www.yellowpages-uae.com/al-dahleez-restaurant-127755.html,
52,Al Diar Siji Hotel,"Next to Fujairah Trade Centre, Beside Etisalat Bldg","Fujairah, UAE ",1199,+9709-2232000,+97None,https://www.yellowpages-uae.com/al-diar-siji-hotel-117567.html,
53,Al Fakher Mandi & Traditional Restaurant,"Behind Labour Ministry, Hor Al Anz","Dubai, UAE ",None,+9704-2664660,"+97050-5712126, 04-2664",https://www.yellowpages-uae.com/al-fakher-mandi-traditional-restaurant-172953.html,
54,Al Falah Cafeteria,Abu Shagara,"Sharjah, UAE ",None,+9706-5482275,+97055-3587798,https://www.yellowpages-uae.com/al-falah-cafeteria-175213.html,
55,Al Falah Restaurant and Cafeteria,Al Salam Road,"Fujairah, UAE ",None,+9709-2235151,+97None,https://www.yellowpages-uae.com/al-falah-restaurant-and-cafeteria-178652.html,
56,Al Falak Restaurant,"Baladiya Building, Near Wadi 28, Al Maqam","Al Ain, UAE ",3232,+9703-7681200,+97050-6732325,https://www.yellowpages-uae.com/al-falak-restaurant-173331.html,
57,Al Falasi Restaurant & Cafeteria,Al Ghusais,"Dubai, UAE ",18977,+9704-2673141,+97None,https://www.yellowpages-uae.com/al-falasi-restaurant-cafeteria-103525.html,
58,Al Fanar Restaurant,"Near Ritz Carlton, Vietnam Village","Abu Dhabi, UAE ",None,+9702-4481144,+97None,https://www.yellowpages-uae.com/al-fanar-restaurant-175608.html,
59,Al Farah Pastry & Grills,"Behind Crown Plaza, Hamdan Street","Abu Dhabi, UAE ",None,+9702-6333777,+97None,https://www.yellowpages-uae.com/al-farah-pastry-grills-175507.html,
60,Al Fareej Restaurant,"Near Etisalat Office, Hamdan Street","Abu Dhabi, UAE ",None,+9702-6393335,+97055-3735435,https://www.yellowpages-uae.com/al-fareej-restaurant-175552.html,
61,Al Faris Restaurant,"Opp Old Fire Brigade, Al Muntazar Rd","Ras Al Khaimah, UAE ",10308,+9707-2285682,+97None,https://www.yellowpages-uae.com/al-faris-restaurant-134642.html,
62,Al Fujairah Restaurant,Electra Rd,"Abu Dhabi, UAE ",36874,+9702-6782973,+97None,https://www.yellowpages-uae.com/al-fujairah-restaurant-138806.html,
63,Al Fursan,"Near Fire Station, Dibba","Fujairah, UAE ",13227,+9709-2443211,+97None,https://www.yellowpages-uae.com/al-fursan-146592.html,
64,Al Ghub Restaurant,"Bin Sultan Rd, Mamourah","Ras Al Khaimah, UAE ",5410,+9707-2282959,+97None,https://www.yellowpages-uae.com/al-ghub-restaurant-134251.html,
65,Al Grissino,DIFC,"Dubai, UAE ",None,+9704-3524000,+97None,https://www.yellowpages-uae.com/al-grissino-175790.html,
66,Al Habsha Restaurant,"Behind KIA Showroom, TCA","Abu Dhabi, UAE ",None,+9702-6770014,+97None,https://www.yellowpages-uae.com/al-habsha-restaurant-175521.html,
67,Al Hadheeth Restaurant,"Near Rotana Hotel, Nabaa","Sharjah, UAE ",96159,+9706-5632275,+97None,https://www.yellowpages-uae.com/al-hadheeth-restaurant-148166.html,
68,Al Hajis Cafeteria and Restaurant,"Sunshine Bldg, Near Al Tayer Motors, Al Garhoud","Dubai, UAE ",57671,+9704-2868244,+97None,https://www.yellowpages-uae.com/al-hajis-cafeteria-and-restaurant-136247.html,
69,Al Hakorah Restaurant & Catering,Salam St,"Abu Dhabi, UAE ",4602,+9702-6447979,+97None,https://www.yellowpages-uae.com/al-hakorah-restaurant-catering-164760.html,
70,Al Hallab Restaurant and Sweets LLC,Al Garhoud,"Dubai, UAE ",40350,+9704-2823388,+97None,https://www.yellowpages-uae.com/al-hallab-restaurant-and-sweets-llc-128203.html,
71,Al Hamadi Restaurant,"Al Hamra, Jazeera","Ras Al Khaimah, UAE ",6487,+9707-2445416,+97None,https://www.yellowpages-uae.com/al-hamadi-restaurant-135408.html,
72,Al Haram Restaurant,"Near Emarat Petrol Pump, Bazaar Area","Umm Al Quwain, UAE ",213,+9706-7656965,+97None,https://www.yellowpages-uae.com/al-haram-restaurant-45179.html,
73,Al Heel Rest and Catering,Khalidia,"Abu Dhabi, UAE ",480,+9702-6215116,+97None,https://www.yellowpages-uae.com/al-heel-rest-and-catering-135552.html,
74,Al Hulmiah Restaurant,"Near Liberty Signal, Al Wahda St","Sharjah, UAE ",None,+9706-5259382,+97None,https://www.yellowpages-uae.com/al-hulmiah-restaurant-103484.html,
75,Al Ibrahimi Palace Restaurant,"Opp New Burjuman Centre, Karama","Dubai, UAE ",None,+9704-3977070,+97None,https://www.yellowpages-uae.com/al-ibrahimi-palace-restaurant-175206.html,
76,Al Ibtihal Restaurant,None,"Dubai, UAE ",None,+9704-3311170,+97None,https://www.yellowpages-uae.com/al-ibtihal-restaurant-151051.html,
77,Al Ijaza Cafeteria,"Beach Road, Jumeirah 1","Dubai, UAE ",None,+9704-3444874,+97050-3444874,https://www.yellowpages-uae.com/al-ijaza-cafeteria-175650.html,
78,Al Insaf Al Afghani Restaurant,"Near Mubarak Centre, Al Nabba, Rolla","Sharjah, UAE ",4362,+9706-5618840,+97None,https://www.yellowpages-uae.com/al-insaf-al-afghani-restaurant-147068.html,
79,Al Insha Restaurant,"Opp Emirates Islamic Bank, Near National Paints, Kalba Rd","Sharjah, UAE ",None,+9706-5358438,+97None,https://www.yellowpages-uae.com/al-insha-restaurant-147388.html,
80,Al Irshad Restaurant,Khabisi Area,"Al Ain, UAE ",67394,+9703-7620492,+97None,https://www.yellowpages-uae.com/al-irshad-restaurant-129163.html,
81,Al Ishbaa Restaurant,Near Mussalla Park,"Sharjah, UAE ",None,+9706-5620410,+97None,https://www.yellowpages-uae.com/al-ishbaa-restaurant-144273.html,
82,"Al Islami Foods Co, ( Al Farooj Head Office)",None,"Jebel Ali, UAE ",21984,+97None,+97None,https://www.yellowpages-uae.com/al-islami-foods-co-al-farooj-head-office--146310.html,
83,Al Joory Hyderabadi Restaurant,"Near Old Honda S/R, Abu Shagara","Sharjah, UAE ",None,+9706-5447373,+97050-6424016,https://www.yellowpages-uae.com/al-joory-hyderabadi-restaurant-175363.html,
84,Al Kabab Al Afghani Al Jadeed Restaurant,"Opp Sadaf Rest, Al Marija St, Mena Rd","Sharjah, UAE ",None,+9706-0522554,+97None,https://www.yellowpages-uae.com/al-kabab-al-afghani-al-jadeed-restaurant-147102.html,
85,Al Kabab Al Laziz Afghani Rest LLC,"Near Zulekha Hospital, Al Zahra St, Nasiriya","Sharjah, UAE ",None,+9706-5656127,+97None,https://www.yellowpages-uae.com/al-kabab-al-laziz-afghani-rest-llc-148016.html,
86,Al Karnak,Al Diyafa,"Dubai, UAE ",None,+9704-3980123,+97None,https://www.yellowpages-uae.com/al-karnak-103610.html,
87,Al Khaial Cafeteria & Restaurant,"Al Mamzar Building, Bhnd Public Library","Dubai, UAE ",None,+9704-2628781,+97052-4507925,https://www.yellowpages-uae.com/al-khaial-cafeteria-restaurant-172954.html,
88,Al Khaja Group,None,"Dubai, UAE ",5060,+9704-3808787,+97None,https://www.yellowpages-uae.com/al-khaja-group-152652.html,
89,Al Khaja Hospitality,Deira,"Dubai, UAE ",5060,+9704-2973000,+97None,https://www.yellowpages-uae.com/al-khaja-hospitality-113662.html,
90,Al Khaleej Al Arabi Pastry,None,"Sharjah, UAE ",None,+9706-5368950,+97050-9781207,https://www.yellowpages-uae.com/al-khaleej-al-arabi-pastry-175234.html,
91,Al Khaleej Al Latheethah Pastry,Al Buhaira,"Sharjah, UAE ",None,+9706-5564443,+97None,https://www.yellowpages-uae.com/al-khaleej-al-latheethah-pastry-145530.html,
92,Al Khiyma Restaurant,"Near Sahara Centre, Al Nahda St","Sharjah, UAE ",21107,+9706-5314858,+97None,https://www.yellowpages-uae.com/al-khiyma-restaurant-136501.html,
93,Al Khoor Restaurant,"Bhnd Old Sharjah Cinema, Rolla","Sharjah, UAE ",20164,+9706-5681059,+97None,https://www.yellowpages-uae.com/al-khoor-restaurant-129363.html,
94,Al Kurup Restaurant,"Near Taxi Station, Industrial Area","Umm Al Quwain, UAE ",387,+9706-7664386,+97None,https://www.yellowpages-uae.com/al-kurup-restaurant-45183.html,
95,Al Maharah Restaurant,"Opp Al Majaz Park, Al Wahda St","Sharjah, UAE ",23935,+9706-5599554,+97None,https://www.yellowpages-uae.com/al-maharah-restaurant-106286.html,
96,Al Majas Restaurant LLC,Bur Dubai,"Dubai, UAE ",102995,+9704-3930042,+97055-4469185,https://www.yellowpages-uae.com/al-majas-restaurant-llc-175225.html,
97,Al Malaki Rajasthan Restaurant,"Near Wafa Supermarket, National Paint","Sharjah, UAE ",25648,+9706-5340441,+97None,https://www.yellowpages-uae.com/al-malaki-rajasthan-restaurant-147202.html,
98,Al Mallas,"Jumeirah St, Umm Suqeim 2","Dubai, UAE ",None,+97800-625527,+97None,https://www.yellowpages-uae.com/al-mallas-148174.html,
99,Al Manbar Cafeteria,"Near Fire Station, Muwaileh","Sharjah, UAE ",None,+9706-5356919,+97None,https://www.yellowpages-uae.com/al-manbar-cafeteria-147103.html,
100,Al Manbar Restaurant & Cafeteria,"Near Fair Point, Kalba Rd, Indl Area 17","Sharjah, UAE ",None,+9706-5359454,+97None,https://www.yellowpages-uae.com/al-manbar-restaurant-cafeteria-147657.html,
101,Al Mansoori Restaurant,Khalidiya,"Abu Dhabi, UAE ",42756,+9702-6219001,+97None,https://www.yellowpages-uae.com/al-mansoori-restaurant-126752.html,
102,Al Marasim Al Afghani Restaurant,"Near KM Trading, Opp Tasheel. Abu Shagara","Sharjah, UAE ",None,+9706-5599356,+97055-5591417,https://www.yellowpages-uae.com/al-marasim-al-afghani-restaurant-175591.html,
103,Al Mathaq Al Shamsi Restaurant,"Frij Murar, Deira","Dubai, UAE ",None,+9704-2711945,+97050-1596211,https://www.yellowpages-uae.com/al-mathaq-al-shamsi-restaurant-175204.html,
104,Al Mayass Restaurant,Abu Dhabi Corniche,"Abu Dhabi, UAE ",None,+9702-6440440,+97None,https://www.yellowpages-uae.com/al-mayass-restaurant-175666.html,
105,Al Minar Restaurant,Deira,"Dubai, UAE ",None,+9704-2222622,+97None,https://www.yellowpages-uae.com/al-minar-restaurant-147690.html,
106,Al Misyal Bar,Liwa,"Abu Dhabi, UAE ",None,+9702-8822000,+97None,https://www.yellowpages-uae.com/al-misyal-bar-151062.html,
107,Al Mobile Restaurant,"Bhnd Central Bank, Abu Shagara","Sharjah, UAE ",None,+9706-5593398,+97None,https://www.yellowpages-uae.com/al-mobile-restaurant-148303.html,
108,Al Nafoora Restaurant - Coral Deira Dubai,Al Muraqabbat Road,"Dubai, UAE ",82999,+9704-2128268,+97None,https://www.yellowpages-uae.com/al-nafoora-restaurant-coral-deira-dubai-148974.html,
109,Al Nahda Palace LLC,Al Nahda,"Sharjah, UAE ",None,+9706-5454422,+97None,https://www.yellowpages-uae.com/al-nahda-palace-llc-103632.html,
110,Al Nakheel Lounge - Grand Hyatt Dubai,Nakheel,"Dubai, UAE ",7978,+9704-3171100,+97None,https://www.yellowpages-uae.com/al-nakheel-lounge-grand-hyatt-dubai-122465.html,
111,Al Naseem Al Akhdar Restaurant,"Behind Fortune Hotel, Naif","Dubai, UAE ",None,+9704-2233661,+97None,https://www.yellowpages-uae.com/al-naseem-al-akhdar-restaurant-175250.html,
112,Al Nashmi Restaurant,"Behind UAE Exchange, Bur Dubai","Dubai, UAE ",None,+9704-3539926,+97050-2589257,https://www.yellowpages-uae.com/al-nashmi-restaurant-175580.html,
113,Al Nasr Cinema Restaurant,"Lulu Village, Muhaisnah, Qusais","Dubai, UAE ",7135,+9704-2641925,+97None,https://www.yellowpages-uae.com/al-nasr-cinema-restaurant-117807.html,
114,Al Nasr Restaurant,"R/A 5, Jebel Ali Free Zone","Jebel Ali, UAE ",16837,+9704-8818600,+97None,https://www.yellowpages-uae.com/al-nasr-restaurant-113698.html,
115,Al Nedaa Cafeteria,Bur Dubai,"Dubai, UAE ",85549,+9704-3593136,+97None,https://www.yellowpages-uae.com/al-nedaa-cafeteria-117716.html,
116,Al Noaman Restaurant and Cafeteria,"Sh Ahmed Bin Mohd Sharqi Road, Dibba Al Fujairah","Dibba, UAE ",12134,+9709-2441404,+97None,https://www.yellowpages-uae.com/al-noaman-restaurant-and-cafeteria-59191.html,
117,Al Nouman Rest and Catering,Dibba,"Fujairah, UAE ",13124,+9709-2441404,+97None,https://www.yellowpages-uae.com/al-nouman-rest-and-catering-131600.html,
118,Al Omara Al Jadeed Restaurant,"Near Main Gate, R/A 5, Jebel Ali Free Zone","Jebel Ali, UAE ",16837,+9704-8818518,+97None,https://www.yellowpages-uae.com/al-omara-al-jadeed-restaurant-119548.html,
119,Al Qabael Restaurant,Al Quoz 3,"Dubai, UAE ",11780,+9704-3392633,+97None,https://www.yellowpages-uae.com/al-qabael-restaurant-111850.html,
120,Al Qantarah Restaurant,Al Nahda,"Sharjah, UAE ",None,+9706-5316696,+97None,https://www.yellowpages-uae.com/al-qantarah-restaurant-147668.html,
121,Al Qasaba Restaurant,Al Zahara,"Ajman, UAE ",1259,+9706-7431383,+97None,https://www.yellowpages-uae.com/al-qasaba-restaurant-117300.html,
122,Al Qasr Grills,TCA,"Abu Dhabi, UAE ",45240,+9702-6449933,+97None,https://www.yellowpages-uae.com/al-qasr-grills-102718.html,
123,Al Qubtan Restaurant,None,"Dubai, UAE ",36093,+9704-2850530,+97None,https://www.yellowpages-uae.com/al-qubtan-restaurant-151882.html,
124,Al Rabash Mandi Restaurant,Al Nahda,"Dubai, UAE ",None,+9704-2344455,+97None,https://www.yellowpages-uae.com/al-rabash-mandi-restaurant-68521.html,
125,Al Raousha Restaurant & Grills,"Behind First Abu Dhabi Bank, Near Al Noor Hospital, Khalifa Street, Al Markaziya","Abu Dhabi, UAE ",None,+9702-6272637,+97None,https://www.yellowpages-uae.com/al-raousha-restaurant-grills-175535.html,
126,Al Rawaq,Liwa,"Abu Dhabi, UAE ",None,+9702-8822000,+97None,https://www.yellowpages-uae.com/al-rawaq-151063.html,
127,Al Razooqi Restaurant,Al Quoz,"Dubai, UAE ",None,+9704-3383183,+97None,https://www.yellowpages-uae.com/al-razooqi-restaurant-147697.html,
128,Al Reef Al Yamani Restaurant & Bakeries,Abu Hail,"Dubai, UAE ",None,+9704-2699910,+97055-9544426,https://www.yellowpages-uae.com/al-reef-al-yamani-restaurant-bakeries-172955.html,
129,Al Reef Lebanese Rest & Grills,Al Qusais,"Dubai, UAE ",2601,+9704-2632700,+97None,https://www.yellowpages-uae.com/al-reef-lebanese-rest-grills-128809.html,
130,Al Reem Trays Restaurant,None,"Abu Dhabi, UAE ",None,+9702-6668649,+97None,https://www.yellowpages-uae.com/al-reem-trays-restaurant-102722.html,
131,Al Saad Restaurant,"Al Nakheel, Opp Al Rais Travels","Ras Al Khaimah, UAE ",13135,+9707-2283889,+97None,https://www.yellowpages-uae.com/al-saad-restaurant-139777.html,
132,Al Safadi Grill & Restaurant,Al Qassimia,"Sharjah, UAE ",None,+9706-5751235,+97None,https://www.yellowpages-uae.com/al-safadi-grill-restaurant-147114.html,
133,Al Safary Restaurant,"Central Market, Dibba Al Hassan","Dibba, UAE ",12116,+9709-2444749,+97None,https://www.yellowpages-uae.com/al-safary-restaurant-59202.html,
134,Al Safsaf Restaurant,Mussafah 10,"Abu Dhabi, UAE ",None,+9702-5522585,+97None,https://www.yellowpages-uae.com/al-safsaf-restaurant-145575.html,
135,Al Sahil Al Jadeed Restaurant,Abu Shagara,"Sharjah, UAE ",None,+9706-5485996,+97056-6966631,https://www.yellowpages-uae.com/al-sahil-al-jadeed-restaurant-175358.html,
136,Al Sakab,Shaikh Zayed Road,"Dubai, UAE ",None,+9704-3234333,+97None,https://www.yellowpages-uae.com/al-sakab-67333.html,
137,Al Satwa Garden Restaurant,Satwa,"Dubai, UAE ",None,+9704-3290052,+97None,https://www.yellowpages-uae.com/al-satwa-garden-restaurant-147661.html,
138,Al Shahama Cafeteria,"Muradi Rd, Satwa","Dubai, UAE ",None,+9704-3327375,+97None,https://www.yellowpages-uae.com/al-shahama-cafeteria-145694.html,
139,Al Shaheen Restaurant,Bateen,"Abu Dhabi, UAE ",46127,+9702-6651164,+97None,https://www.yellowpages-uae.com/al-shaheen-restaurant-123136.html,
140,Al Shaki Restaurant,"Oman Rd, Al Nakheel","Ras Al Khaimah, UAE ",11598,+9707-2288354,+97None,https://www.yellowpages-uae.com/al-shaki-restaurant-138414.html,
141,Al Sham Rose Restaurant,"Next to Dubai Women's College, Bhnd NMC, Al Qusais","Dubai, UAE ",None,+9704-2677917,+97None,https://www.yellowpages-uae.com/al-sham-rose-restaurant-144665.html,
142,Al Sham Village Restaurant,"Jumeirah Beach Road, Umm Suqeim 2","Dubai, UAE ",233485,+9704-3399517,+97None,https://www.yellowpages-uae.com/al-sham-village-restaurant-175540.html,
143,Al Shamah Cafeteria,"Near Al Wafa Centre, Muweilah","Sharjah, UAE ",None,+9706-5356366,+97None,https://www.yellowpages-uae.com/al-shamah-cafeteria-147659.html,
144,Al Shameat Restaurant,"Near Al Waheda Post, Jamal Abdel Naser St","Sharjah, UAE ",None,+9706-5535505,+97None,https://www.yellowpages-uae.com/al-shameat-restaurant-146794.html,
145,Al Shami Corner Rest,Jamal Abdul Nasir St,"Sharjah, UAE ",None,+9706-5558086,+97None,https://www.yellowpages-uae.com/al-shami-corner-rest-147658.html,
146,Al Shater Hassan Restaurant,None,"Abu Dhabi, UAE ",None,+9702-6416616,+97None,https://www.yellowpages-uae.com/al-shater-hassan-restaurant-145666.html,
147,Al Sheraa Al Dahbi Seafood Restaurant,Khalifa St,"Abu Dhabi, UAE ",41230,+9702-6277204,+97None,https://www.yellowpages-uae.com/al-sheraa-al-dahbi-seafood-restaurant-142541.html,
148,Al Sheraa Al Dhabi Restaurant,Khalfa Street A Noor Hosptal Bldg.,"Abu Dhabi, UAE ",None,+97050-8383454,+97None,https://www.yellowpages-uae.com/al-sheraa-al-dhabi-restaurant-144769.html,
149,Al Sheraa Dhahabi Sea Food Restaurant,Khalifa St,"Abu Dhabi, UAE ",41230,+9702-6277204,+97None,https://www.yellowpages-uae.com/al-sheraa-dhahabi-sea-food-restaurant-145667.html,
150,Al Shorafa Restaurant,Bur Dubai,"Dubai, UAE ",50589,+9704-3935678,+97None,https://www.yellowpages-uae.com/al-shorafa-restaurant-121486.html,
